time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,-29.005,0,0,0,0,6.9,104.1,39.1,1316.2,0
0.2,-22.834,0,0,0,0,12.6,67.8,1.6,1324.7,0
0.4,30.2393,0,0,0,0,116.5,42,75.5,1313.4,0
0.6,12.754,0,0,0,0,71.8,27,60,1319,0
0.8,87.6323,0,0,0,0,152.3,118,96.4,1316.2,0
1,10.6969,0,0,0,0,174.6,55.9,132.9,1313.4,0
1.2,-2.4685,0,0,0,0,144.5,13.1,103.1,1319,0
1.4,-49.576,0,0,0,0,167.9,-48,83.2,1310.5,0
1.6,-63.359,0,0,0,0,190.2,-54.4,62.3,1307.7,0
1.8,-58.216,0,0,0,0,59.4,56.9,19.2,1307.7,0
2,-48.959,0,0,0,0,133.1,-95.1,20.4,1302,0
2.2,-46.49,0,0,0,0,163.2,-135.8,21.5,1296.4,0
2.4,-115.2,0,0,0,0,54.8,-197.9,-71.2,1293.6,0
2.6,-122.81,0,0,0,0,4.5,-287.9,-163.8,1290.7,0
2.8,-127.75,0,0,0,0,-154.3,-537.3,-363.5,1285.1,0
3,-131.45,0,0,0,0,-342.2,-828.5,-634.8,1279.4,0
3.2,-78.17,0,0,0,0,-420.1,-764,-683.4,1307.7,0
3.4,-78.787,0,0,0,0,-524,-821.7,-743,1319,0
3.6,-6.7884,0,0,0,0,-613.3,-809.9,-745.2,1330.4,0
3.8,13.3711,0,0,0,0,-623.2,-847.2,-683.5,1344.5,0
4,57.8044,0,0,0,0,-632.1,-702.6,-577.6,1353,0
4.2,87.0152,0,0,0,0,-571.8,-575.4,-532.3,1341.7,0
4.4,89.4837,0,0,0,0,-533.9,-469.5,-523.5,1333.2,0
4.6,106.146,0,0,0,0,-510.5,-433.2,-557.7,1324.7,0
4.8,42.9933,0,0,0,0,-435.7,-431.1,-569.8,1313.4,0
5,47.9304,0,0,0,0,-405.6,-416.2,-597.4,1307.7,0
5.2,39.0848,0,0,0,0,-396.8,-365.9,-588.5,1299.2,0
5.4,56.3645,0,0,0,0,-375.5,-359.5,-567.6,1302,0
5.6,52.8674,0,0,0,0,-106.1,-18.1,-230,1299.2,0
5.8,-2.0571,0,0,0,0,-26.7,57.9,-137.4,1302,0
6,107.792,0,0,0,0,38.1,106.1,-59.1,1304.9,0
6.2,56.9816,0,0,0,0,30.3,112.6,-52.5,1307.7,0
6.4,101.621,0,0,0,0,44.9,182.1,4.9,1307.7,0
6.6,25.7137,0,0,0,0,0.2,69.8,-24.9,1313.4,0
6.8,0.20571,0,0,0,0,87.4,125.5,46.8,1313.4,0
7,24.068,0,0,0,0,145.5,14.1,61.2,1313.4,0
7.2,23.8623,0,0,0,0,137.7,90.2,96.4,1316.2,0
7.4,85.5752,0,0,0,0,174.6,97.6,104.2,1313.4,0
7.6,-10.285,0,0,0,0,174.6,28.1,118.5,1313.4,0
7.8,-5.1427,0,0,0,0,166.8,6.7,96.4,1316.2,0
8,-69.941,0,0,0,0,132.1,-12.7,62.3,1307.7,0
8.2,-45.873,0,0,0,0,299.7,-158.2,84.3,1304.9,0
8.4,-60.067,0,0,0,0,147.6,-81.2,77.7,1302,0
8.6,-47.93,0,0,0,0,133.1,-95.1,20.4,1302,0
8.8,-63.564,0,0,0,0,134.2,-163.7,-35.9,1296.4,0
9,-121.16,0,0,0,0,40.3,-253.6,-85.5,1293.6,0
9.2,-103.88,0,0,0,0,4.5,-329.6,-163.8,1290.7,0
9.4,-144.2,0,0,0,0,-234.8,-628.3,-471.6,1287.9,0
9.6,-104.91,0,0,0,0,-431.5,-872.3,-680.1,1290.7,0
9.8,-76.113,0,0,0,0,-405.6,-805.8,-683.4,1307.7,0
10,-62.741,0,0,0,0,-531.8,-829.2,-736.4,1321.9,0
10.2,-4.7313,0,0,0,0,-606.6,-831.2,-738.6,1333.2,0
10.4,15.6339,0,0,0,0,-608.7,-861.1,-654.8,1344.5,0
10.6,83.1067,0,0,0,0,-579.6,-666.3,-511.4,1344.5,0
10.8,79.6097,0,0,0,0,-520.4,-567.9,-524.6,1338.8,0
11,93.1865,0,0,0,0,-482.5,-489.8,-501.4,1330.4,0
11.2,94.4208,0,0,0,0,-509.5,-362.6,-527.9,1319,0
11.4,25.9194,0,0,0,0,-435.7,-417.2,-555.5,1313.4,0
11.6,45.4618,0,0,0,0,-361,-387.3,-567.6,1302,0
11.8,37.8506,0,0,0,0,-367.7,-365.9,-574.2,1299.2,0
12,76.7297,0,0,0,0,-330.8,-302.8,-509.1,1296.4,0
12.2,19.3367,0,0,0,0,-62.5,37.6,-144,1299.2,0
12.4,23.2452,0,0,0,0,-18.9,93.2,-115.3,1299.2,0
12.6,115.403,0,0,0,0,39.2,135,-86.6,1299.2,0
12.8,62.7415,0,0,0,0,9.1,189.6,-16,1304.9,0
13,87.838,0,0,0,0,66.1,160.8,-2.8,1310.5,0
13.2,-7.6113,0,0,0,0,29.3,97.6,-10.5,1313.4,0
13.4,22.8338,0,0,0,0,103,112.6,62.3,1307.7,0
13.6,4.3199,0,0,0,0,66.1,105.1,83.2,1310.5,0
13.8,35.1764,0,0,0,0,167.9,105.1,126.2,1310.5,0
14,70.7641,0,0,0,0,145.5,83.7,89.8,1313.4,0
14.2,-4.3199,0,0,0,0,189.1,69.8,89.8,1313.4,0
14.4,-21.6,0,0,0,0,182.4,-20.1,83.2,1310.5,0
14.6,-68.296,0,0,0,0,175.7,-26.6,33.6,1307.7,0
14.8,-41.348,0,0,0,0,220.3,-53.4,20.4,1302,0
15,-40.113,0,0,0,0,191.2,-122.9,6,1302,0
15.2,-54.924,0,0,0,0,140.9,-101.6,28.1,1299.2,0
15.4,-83.93,0,0,0,0,127.4,-170.1,-42.5,1293.6,0
15.6,-113.35,0,0,0,0,25.7,-295.3,-185.9,1293.6,0
15.8,-100.8,0,0,0,0,-23.6,-384.2,-248.8,1285.1,0
16,-154.49,0,0,0,0,-277.3,-710.7,-527.8,1282.2,0
16.2,-105.53,0,0,0,0,-359.9,-803.7,-666.8,1296.4,0
16.4,-69.941,0,0,0,0,-478.3,-791.8,-697.7,1307.7,0
16.6,-43.199,0,0,0,0,-553,-766.1,-714.3,1319,0
16.8,3.70277,0,0,0,0,-606.6,-775.6,-724.3,1333.2,0
17,9.25694,0,0,0,0,-600.9,-811.9,-632.7,1341.7,0
17.2,98.7407,0,0,0,0,-586.3,-644.9,-489.3,1341.7,0
17.4,88.4552,0,0,0,0,-577.5,-497.3,-523.5,1333.2,0
17.6,98.535,0,0,0,0,-481.4,-391.4,-514.7,1324.7,0
17.8,64.7986,0,0,0,0,-435.7,-375.4,-526.8,1313.4,0
18,30.0336,0,0,0,0,-442.5,-381.9,-547.7,1310.5,0
18.2,47.1075,0,0,0,0,-390,-401.2,-581.9,1302,0
18.4,31.6793,0,0,0,0,-359.9,-358.5,-566.5,1296.4,0
18.6,78.1697,0,0,0,0,-250.4,-211.9,-415.3,1293.6,0
18.8,-4.937,0,0,0,0,-77.1,23.7,-144,1299.2,0
19,47.9304,0,0,0,0,-4.4,79.3,-72.3,1299.2,0
19.2,83.5181,0,0,0,0,2.3,99.7,-108.7,1302,0
19.4,58.2158,0,0,0,0,-34.5,175.7,-59.1,1304.9,0
19.6,78.7868,0,0,0,0,-6.5,119,-17.2,1310.5,0
19.8,-24.068,0,0,0,0,8,105.1,-2.8,1310.5,0
20,43.199,0,0,0,0,59.4,112.6,33.6,1307.7,0
20.2,11.1083,0,0,0,0,58.3,55.9,61.2,1313.4,0
20.4,73.6441,0,0,0,0,123.2,90.2,96.4,1316.2,0
20.6,55.3359,0,0,0,0,167.9,77.3,111.9,1310.5,0
20.8,-19.542,0,0,0,0,167.9,35.5,97.6,1310.5,0
21,-31.679,0,0,0,0,153.3,-48,40.2,1310.5,0
21.2,-95.449,0,0,0,0,139.9,-60.8,27,1304.9,0
21.4,-19.131,0,0,0,0,118.6,-67.3,6,1302,0
21.6,-62.124,0,0,0,0,170,-129.4,-43.6,1299.2,0
21.8,-18.102,0,0,0,0,177.8,-121.9,-7.2,1296.4,0
22,-58.833,0,0,0,0,76.1,-205.4,-93.2,1296.4,0
22.2,-85.987,0,0,0,0,114,-169.1,-70.1,1287.9,0
22.4,-19.748,0,0,0,0,91.6,-218.3,-106.5,1290.7,0
22.6,-16.251,0,0,0,0,107.2,-189.4,-62.3,1285.1,0
22.8,35.3821,0,0,0,0,91.6,-176.6,-63.5,1290.7,0
23,-15.017,0,0,0,0,62.6,-204.4,-77.8,1290.7,0
23.2,3.90848,0,0,0,0,77.1,-190.5,-92.1,1290.7,0
23.4,2.67423,0,0,0,0,99.4,-196.9,-55.7,1287.9,0
23.6,2.0571,0,0,0,0,91.6,-204.4,-63.5,1290.7,0
23.8,2.0571,0,0,0,0,77.1,-204.4,-63.5,1290.7,0
24,2.26281,0,0,0,0,77.1,-190.5,-77.8,1290.7,0
24.2,2.0571,0,0,0,0,84.9,-196.9,-41.4,1287.9,0
24.4,2.46852,0,0,0,0,84.9,-196.9,-55.7,1287.9,0
24.6,2.0571,0,0,0,0,70.4,-183,-70.1,1287.9,0
24.8,2.0571,0,0,0,0,99.4,-196.9,-41.4,1287.9,0
25,2.0571,0,0,0,0,70.4,-196.9,-55.7,1287.9,0
25.2,2.26281,0,0,0,0,55.8,-196.9,-84.4,1287.9,0
25.4,2.26281,0,0,0,0,63.6,-189.4,-76.7,1285.1,0
25.6,2.26281,0,0,0,0,63.6,-189.4,-76.7,1285.1,0
25.8,2.0571,0,0,0,0,48,-218.3,-106.5,1290.7,0
26,1.85139,0,0,0,0,55.8,-224.7,-70.1,1287.9,0
26.2,2.0571,0,0,0,0,55.8,-210.8,-98.8,1287.9,0
26.4,2.0571,0,0,0,0,78.2,-217.3,-76.7,1285.1,0
26.6,2.67423,0,0,0,0,92.7,-231.2,-76.7,1285.1,0
26.8,2.26281,0,0,0,0,78.2,-217.3,-91,1285.1,0
27,2.67423,0,0,0,0,78.2,-217.3,-91,1285.1,0
27.2,2.26281,0,0,0,0,71.4,-195.9,-83.3,1282.2,0
27.4,2.26281,0,0,0,0,63.6,-217.3,-91,1285.1,0
27.6,2.0571,0,0,0,0,49.1,-217.3,-76.7,1285.1,0
27.8,2.0571,0,0,0,0,26.8,-224.7,-98.8,1287.9,0
28,2.26281,0,0,0,0,71.4,-209.8,-97.6,1282.2,0
28.2,2.0571,0,0,0,0,71.4,-223.7,-69,1282.2,0
28.4,2.26281,0,0,0,0,79.2,-216.3,-89.9,1279.4,0
28.6,2.0571,0,0,0,0,49.1,-203.4,-119.7,1285.1,0
28.8,1.85139,0,0,0,0,56.9,-209.8,-69,1282.2,0
29,2.26281,0,0,0,0,71.4,-209.8,-112,1282.2,0
29.2,1.85139,0,0,0,0,49.1,-231.2,-105.4,1285.1,0
29.4,2.26281,0,0,0,0,64.7,-202.3,-104.3,1279.4,0
29.6,2.67423,0,0,0,0,71.4,-237.6,-97.6,1282.2,0
29.8,2.26281,0,0,0,0,71.4,-209.8,-97.6,1282.2,0
30,2.26281,0,0,0,0,64.7,-202.3,-118.6,1279.4,0
30.2,2.26281,0,0,0,0,72.5,-222.7,-96.5,1276.6,0
30.4,2.26281,0,0,0,0,72.5,-208.8,-110.9,1276.6,0
30.6,2.26281,0,0,0,0,50.2,-216.3,-104.3,1279.4,0
30.8,2.26281,0,0,0,0,58,-208.8,-96.5,1276.6,0
31,2.0571,0,0,0,0,72.5,-222.7,-96.5,1276.6,0
31.2,1.85139,0,0,0,0,21.1,-230.2,-104.3,1279.4,0
31.4,1.85139,0,0,0,0,56.9,-223.7,-112,1282.2,0
31.6,1.85139,0,0,0,0,58,-236.6,-96.5,1276.6,0
31.8,1.85139,0,0,0,0,50.2,-244.1,-104.3,1279.4,0
32,1.85139,0,0,0,0,43.4,-222.7,-96.5,1276.6,0
32.2,2.0571,0,0,0,0,43.4,-222.7,-110.9,1276.6,0
32.4,2.26281,0,0,0,0,58,-222.7,-110.9,1276.6,0
32.6,1.85139,0,0,0,0,72.5,-236.6,-96.5,1276.6,0
32.8,1.64568,0,0,0,0,65.8,-229.1,-103.1,1273.7,0
33,1.85139,0,0,0,0,35.6,-244.1,-132.9,1279.4,0
33.2,1.85139,0,0,0,0,-0.2,-236.6,-110.9,1276.6,0
33.4,1.64568,0,0,0,0,51.2,-229.1,-88.8,1273.7,0
33.6,2.0571,0,0,0,0,21.1,-230.2,-132.9,1279.4,0
33.8,1.85139,0,0,0,0,43.4,-264.4,-110.9,1276.6,0
34,1.85139,0,0,0,0,58,-250.5,-125.2,1276.6,0
34.2,2.0571,0,0,0,0,36.7,-215.2,-131.8,1273.7,0
34.4,2.26281,0,0,0,0,36.7,-215.2,-131.8,1273.7,0
34.6,1.85139,0,0,0,0,21.1,-244.1,-147.3,1279.4,0
34.8,1.85139,0,0,0,0,36.7,-229.1,-117.5,1273.7,0
35,1.85139,0,0,0,0,43.4,-264.4,-125.2,1276.6,0
35.2,2.0571,0,0,0,0,21.1,-244.1,-147.3,1279.4,0
35.4,1.64568,0,0,0,0,43.4,-264.4,-125.2,1276.6,0
35.6,2.0571,0,0,0,0,44.5,-221.7,-124.1,1270.9,0
35.8,2.0571,0,0,0,0,44.5,-221.7,-124.1,1270.9,0
36,2.0571,0,0,0,0,-0.2,-250.5,-153.9,1276.6,0
36.2,21.5995,0,0,0,0,80.3,-187.4,-74.5,1273.7,0
36.4,26.1251,0,0,0,0,51.2,-229.1,-88.8,1273.7,0
36.6,2.0571,0,0,0,0,73.6,-193.8,-109.8,1270.9,0
36.8,-12.137,0,0,0,0,36.7,-243.1,-117.5,1273.7,0
37,-30.651,0,0,0,0,15.4,-277.3,-152.8,1270.9,0
37.2,-3.2914,0,0,0,0,0.9,-277.3,-167.1,1270.9,0
37.4,-26.537,0,0,0,0,-49.4,-367.3,-259.8,1268.1,0
37.6,-38.262,0,0,0,0,-136.6,-492.5,-331.5,1268.1,0
37.8,-1.8514,0,0,0,0,-202.5,-583.4,-425.2,1270.9,0
38,-18.308,0,0,0,0,-281.9,-673.4,-546.6,1268.1,0
38.2,13.3711,0,0,0,0,-288.7,-721.6,-553.2,1265.2,0
38.4,-39.702,0,0,0,0,-297.5,-660.5,-547.7,1273.7,0
38.6,-15.428,0,0,0,0,-326.6,-660.5,-533.3,1273.7,0
38.8,-27.565,0,0,0,0,-371.2,-689.3,-591.8,1279.4,0
39,-12.96,0,0,0,0,-356.7,-689.3,-548.8,1279.4,0
39.2,12.9597,0,0,0,0,-414.8,-703.2,-606.1,1279.4,0
39.4,-24.068,0,0,0,0,-422.6,-696.8,-599.5,1282.2,0
39.6,-6.7884,0,0,0,0,-429.4,-647.6,-606.1,1279.4,0
39.8,-37.439,0,0,0,0,-429.4,-619.8,-606.1,1279.4,0
40,8.4341,0,0,0,0,-422.6,-585.5,-585.2,1282.2,0
40.2,7.40555,0,0,0,0,-438.2,-600.4,-615,1287.9,0
40.4,15.6339,0,0,0,0,-430.4,-551.2,-564.2,1285.1,0
40.6,25.0966,0,0,0,0,-443.9,-536.3,-563.1,1279.4,0
40.8,-0.4114,0,0,0,0,-437.2,-543.7,-585.2,1282.2,0
41,30.6507,0,0,0,0,-429.4,-508.4,-577.5,1279.4,0
41.2,0.82284,0,0,0,0,-516.6,-411,-563.1,1279.4,0
41.4,51.4274,0,0,0,0,-523.3,-334,-584.1,1276.6,0
41.6,32.5021,0,0,0,0,-515.5,-340.5,-576.4,1273.7,0
41.8,13.1654,0,0,0,0,-473,-341.5,-563.1,1279.4,0
42,17.4853,0,0,0,0,-486.4,-326.5,-576.4,1273.7,0
42.2,1.23426,0,0,0,0,-479.7,-306.2,-584.1,1276.6,0
42.4,31.6793,0,0,0,0,-399.2,-340.5,-533.3,1273.7,0
42.6,-3.9085,0,0,0,0,-428.3,-340.5,-547.7,1273.7,0
42.8,27.1537,0,0,0,0,-399.2,-354.4,-547.7,1273.7,0
43,8.22839,0,0,0,0,-391.5,-360.8,-583,1270.9,0
43.2,0.61713,0,0,0,0,-421.6,-347.9,-584.1,1276.6,0
43.4,-23.862,0,0,0,0,-407,-375.8,-598.4,1276.6,0
43.6,-13.577,0,0,0,0,-370.2,-354.4,-576.4,1273.7,0
43.8,44.4333,0,0,0,0,-362.4,-319.1,-583,1270.9,0
44,18.3082,0,0,0,0,-318.8,-333,-554.3,1270.9,0
44.2,3.49707,0,0,0,0,-260.7,-235.6,-482.6,1270.9,0
44.4,-1.0285,0,0,0,0,-311,-269.9,-517.9,1268.1,0
44.6,1.85139,0,0,0,0,-304.3,-305.2,-511.3,1270.9,0
44.8,1.85139,0,0,0,0,-318.8,-277.3,-540,1270.9,0
45,1.85139,0,0,0,0,-348.9,-292.3,-555.4,1276.6,0
45.2,2.0571,0,0,0,0,-325.5,-269.9,-546.6,1268.1,0
45.4,2.0571,0,0,0,0,-333.3,-305.2,-540,1270.9,0
45.6,1.85139,0,0,0,0,-311,-311.6,-532.2,1268.1,0
45.8,1.85139,0,0,0,0,-347.9,-319.1,-525.6,1270.9,0
46,2.26281,0,0,0,0,-311,-297.7,-532.2,1268.1,0
46.2,2.26281,0,0,0,0,-325.5,-311.6,-532.2,1268.1,0
46.4,1.85139,0,0,0,0,-325.5,-311.6,-532.2,1268.1,0
46.6,1.85139,0,0,0,0,-333.3,-319.1,-554.3,1270.9,0
46.8,1.64568,0,0,0,0,-340.1,-311.6,-532.2,1268.1,0
47,1.85139,0,0,0,0,-347.9,-305.2,-554.3,1270.9,0
47.2,1.85139,0,0,0,0,-340.1,-297.7,-560.9,1268.1,0
47.4,1.64568,0,0,0,0,-325.5,-325.5,-546.6,1268.1,0
47.6,1.64568,0,0,0,0,-340.1,-325.5,-532.2,1268.1,0
47.8,2.0571,0,0,0,0,-346.8,-318,-553.2,1265.2,0
48,1.85139,0,0,0,0,-362.4,-319.1,-568.6,1270.9,0
48.2,1.85139,0,0,0,0,-369.1,-325.5,-560.9,1268.1,0
48.4,1.85139,0,0,0,0,-332.3,-318,-553.2,1265.2,0
48.6,1.85139,0,0,0,0,-354.6,-325.5,-560.9,1268.1,0
48.8,1.85139,0,0,0,0,-354.6,-339.4,-560.9,1268.1,0
49,1.64568,0,0,0,0,-346.8,-332,-538.8,1265.2,0
49.2,1.85139,0,0,0,0,-332.3,-332,-553.2,1265.2,0
49.4,1.85139,0,0,0,0,-369.1,-339.4,-560.9,1268.1,0
49.6,1.85139,0,0,0,0,-345.7,-303.1,-552.1,1259.6,0
49.8,2.0571,0,0,0,0,-339,-296.7,-559.8,1262.4,0
50,1.85139,0,0,0,0,-375.9,-318,-567.5,1265.2,0
50.2,1.85139,0,0,0,0,-361.3,-318,-567.5,1265.2,0
50.4,1.85139,0,0,0,0,-361.3,-318,-553.2,1265.2,0
50.6,1.64568,0,0,0,0,-339,-310.6,-545.5,1262.4,0
50.8,-2.0571,0,0,0,0,-426.2,-435.8,-645.8,1262.4,0
51,-18.514,0,0,0,0,-382.6,-352.3,-602.8,1262.4,0
51.2,-4.937,0,0,0,0,-398.2,-353.3,-589.6,1268.1,0
51.4,13.3711,0,0,0,0,-412.7,-367.3,-603.9,1268.1,0
51.6,24.6852,0,0,0,0,-280.9,-227.1,-459.4,1262.4,0
51.8,-2.0571,0,0,0,0,-273.1,-233.5,-451.7,1259.6,0
52,1.85139,0,0,0,0,-273.1,-247.5,-466,1259.6,0
52.2,2.0571,0,0,0,0,-302.1,-247.5,-480.4,1259.6,0
52.4,1.64568,0,0,0,0,-324.5,-268.8,-473.8,1262.4,0
52.6,1.64568,0,0,0,0,-332.3,-290.2,-510.2,1265.2,0
52.8,1.64568,0,0,0,0,-324.5,-268.8,-488.1,1262.4,0
53,1.64568,0,0,0,0,-309.9,-282.7,-488.1,1262.4,0
53.2,1.64568,0,0,0,0,-332.3,-276.3,-524.5,1265.2,0
53.4,1.85139,0,0,0,0,-308.9,-281.7,-501.3,1256.8,0
53.6,1.64568,0,0,0,0,-302.1,-275.3,-494.7,1259.6,0
53.8,1.64568,0,0,0,0,-316.7,-289.2,-480.4,1259.6,0
54,2.0571,0,0,0,0,-323.4,-267.8,-501.3,1256.8,0
54.2,1.64568,0,0,0,0,-331.2,-275.3,-494.7,1259.6,0
54.4,1.64568,0,0,0,0,-331.2,-275.3,-509,1259.6,0
54.6,1.64568,0,0,0,0,-323.4,-281.7,-472.6,1256.8,0
54.8,1.85139,0,0,0,0,-323.4,-281.7,-501.3,1256.8,0
55,1.64568,0,0,0,0,-345.7,-289.2,-494.7,1259.6,0
55.2,1.64568,0,0,0,0,-308.9,-295.6,-501.3,1256.8,0
55.4,1.85139,0,0,0,0,-315.6,-288.2,-507.9,1253.9,0
55.6,1.43997,0,0,0,0,-323.4,-295.6,-501.3,1256.8,0
55.8,1.64568,0,0,0,0,-345.7,-289.2,-509,1259.6,0
56,1.85139,0,0,0,0,-323.4,-267.8,-530,1256.8,0
56.2,1.64568,0,0,0,0,-331.2,-289.2,-523.4,1259.6,0
56.4,1.64568,0,0,0,0,-360.3,-289.2,-523.4,1259.6,0
56.6,1.85139,0,0,0,0,-330.1,-288.2,-507.9,1253.9,0
56.8,1.85139,0,0,0,0,-330.1,-274.3,-522.3,1253.9,0
57,1.85139,0,0,0,0,-352.5,-281.7,-530,1256.8,0
57.2,1.85139,0,0,0,0,-344.7,-274.3,-522.3,1253.9,0
57.4,1.85139,0,0,0,0,-344.7,-260.3,-522.3,1253.9,0
57.6,1.64568,0,0,0,0,-352.5,-309.6,-515.7,1256.8,0
57.8,1.64568,0,0,0,0,-360.3,-303.1,-523.4,1259.6,0
58,1.64568,0,0,0,0,-367,-309.6,-515.7,1256.8,0
58.2,1.85139,0,0,0,0,-359.2,-288.2,-536.6,1253.9,0
58.4,1.64568,0,0,0,0,-344.7,-302.1,-522.3,1253.9,0
58.6,1.85139,0,0,0,0,-344.7,-288.2,-522.3,1253.9,0
58.8,1.85139,0,0,0,0,-330.1,-302.1,-522.3,1253.9,0
59,1.64568,0,0,0,0,-344.7,-288.2,-522.3,1253.9,0
59.2,1.43997,0,0,0,0,-344.7,-302.1,-507.9,1253.9,0
59.4,1.64568,0,0,0,0,-367,-295.6,-544.3,1256.8,0
59.6,1.85139,0,0,0,0,-344.7,-288.2,-536.6,1253.9,0
59.8,1.64568,0,0,0,0,-359.2,-302.1,-522.3,1253.9,0
60,1.64568,0,0,0,0,-373.7,-288.2,-536.6,1253.9,0
60.2,1.85139,0,0,0,0,-351.4,-294.6,-514.6,1251.1,0
60.4,2.67423,0,0,0,0,-344.7,-302.1,-522.3,1253.9,0
60.6,1.64568,0,0,0,0,-351.4,-294.6,-528.9,1251.1,0
60.8,1.85139,0,0,0,0,-322.4,-308.5,-514.6,1251.1,0
61,1.85139,0,0,0,0,-351.4,-308.5,-514.6,1251.1,0
61.2,1.64568,0,0,0,0,-373.7,-302.1,-536.6,1253.9,0
61.4,1.85139,0,0,0,0,-351.4,-280.7,-528.9,1251.1,0
61.6,1.85139,0,0,0,0,-351.4,-308.5,-514.6,1251.1,0
61.8,1.85139,0,0,0,0,-351.4,-280.7,-543.2,1251.1,0
62,5.96558,0,0,0,0,-235.2,-169.4,-371.2,1251.1,0
62.2,3.70277,0,0,0,0,-199.4,-79.5,-321.5,1253.9,0
62.4,11.7255,0,0,0,0,-184.8,-79.5,-307.2,1253.9,0
62.6,5.34845,0,0,0,0,-140.2,-78.4,-291.7,1248.3,0
62.8,9.25694,0,0,0,0,-148,-99.8,-313.8,1251.1,0
63,-13.783,0,0,0,0,-162.5,-113.7,-313.8,1251.1,0
63.2,0.20571,0,0,0,0,-169.2,-78.4,-320.4,1248.3,0
63.4,-3.9085,0,0,0,0,-183.8,-92.4,-334.7,1248.3,0
63.6,15.8396,0,0,0,0,-140.2,-78.4,-291.7,1248.3,0
63.8,5.96558,0,0,0,0,-183.8,-64.5,-306.1,1248.3,0
64,-0.6171,0,0,0,0,-154.7,-78.4,-277.4,1248.3,0
64.2,10.4912,0,0,0,0,-169.2,-92.4,-306.1,1248.3,0
64.4,-6.9941,0,0,0,0,-162.5,-85.9,-313.8,1251.1,0
64.6,5.75987,0,0,0,0,-169.2,-64.5,-263,1248.3,0
64.8,2.87994,0,0,0,0,-228.4,-65.5,-321.5,1253.9,0
65,20.571,0,0,0,0,-183.8,-50.6,-263,1248.3,0
65.2,4.11419,0,0,0,0,-198.3,-50.6,-291.7,1248.3,0
65.4,-6.377,0,0,0,0,-212.8,-50.6,-277.4,1248.3,0
65.6,1.85139,0,0,0,0,-212.8,-50.6,-263,1248.3,0
65.8,-1.44,0,0,0,0,-243,-37.7,-292.8,1253.9,0
66,11.9312,0,0,0,0,-206.1,-30.3,-242.1,1251.1,0
66.2,0.41142,0,0,0,0,-206.1,-16.3,-256.4,1251.1,0
66.4,14.3997,0,0,0,0,-198.3,-36.7,-234.4,1248.3,0
66.6,1.43997,0,0,0,0,-220.6,-30.3,-270.8,1251.1,0
66.8,-3.4971,0,0,0,0,-198.3,-64.5,-234.4,1248.3,0
67,0.41142,0,0,0,0,-220.6,-85.9,-242.1,1251.1,0
67.2,4.11419,0,0,0,0,-213.9,-79.5,-249.8,1253.9,0
67.4,15.0168,0,0,0,0,-154.7,-92.4,-234.4,1248.3,0
67.6,-0.2057,0,0,0,0,-176,-112.7,-169.3,1245.4,0
67.8,10.2855,0,0,0,0,-198.3,-120.2,-205.7,1248.3,0
68,-0.2057,0,0,0,0,-146.9,-126.6,-226.6,1245.4,0
68.2,0.20571,0,0,0,0,-154.7,-148,-205.7,1248.3,0
68.4,-1.44,0,0,0,0,-154.7,-148,-220,1248.3,0
68.6,3.70277,0,0,0,0,-154.7,-161.9,-205.7,1248.3,0
68.8,11.7255,0,0,0,0,-117.9,-140.5,-183.6,1245.4,0
69,-4.3199,0,0,0,0,-132.4,-140.5,-183.6,1245.4,0
69.2,0,0,0,0,0,-110.1,-160.9,-161.6,1242.6,0
69.4,-5.5542,0,0,0,0,-140.2,-175.8,-205.7,1248.3,0
69.6,-0.2057,0,0,0,0,-146.9,-154.5,-169.3,1245.4,0
69.8,0.20571,0,0,0,0,-110.1,-174.8,-175.9,1242.6,0
70,1.64568,0,0,0,0,-117.9,-168.4,-169.3,1245.4,0
70.2,5.14274,0,0,0,0,-133.4,-183.3,-199.1,1251.1,0
70.4,-11.725,0,0,0,0,-117.9,-182.3,-198,1245.4,0
70.6,-5.1427,0,0,0,0,-110.1,-188.7,-190.2,1242.6,0
70.8,-4.937,0,0,0,0,-110.1,-230.5,-204.6,1242.6,0
71,3.49707,0,0,0,0,-124.6,-216.6,-204.6,1242.6,0
71.2,-0.2057,0,0,0,0,-124.6,-230.5,-204.6,1242.6,0
71.4,-4.5256,0,0,0,0,-153.6,-216.6,-204.6,1242.6,0
71.6,0,0,0,0,0,-116.8,-236.9,-225.5,1239.8,0
71.8,-5.3485,0,0,0,0,-168.2,-230.5,-233.3,1242.6,0
72,10.0798,0,0,0,0,-139.1,-230.5,-190.2,1242.6,0
72.2,12.1369,0,0,0,0,-139.1,-230.5,-218.9,1242.6,0
72.4,10.6969,0,0,0,0,-102.3,-223,-211.2,1239.8,0
72.6,-0.8228,0,0,0,0,-110.1,-258.3,-218.9,1242.6,0
72.8,-11.931,0,0,0,0,-131.3,-236.9,-225.5,1239.8,0
73,-3.0856,0,0,0,0,-139.1,-272.2,-218.9,1242.6,0
73.2,-1.0285,0,0,0,0,-109,-257.3,-232.1,1236.9,0
73.4,11.7255,0,0,0,0,-131.3,-236.9,-225.5,1239.8,0
73.6,5.96558,0,0,0,0,-132.4,-265.8,-255.3,1245.4,0
73.8,-1.2343,0,0,0,0,-154.7,-273.2,-263,1248.3,0
